 1   6      70
 1  12      70
 1   2      84
 2   1      84
 2  12      70
 3   7     210
 3  20     266
 3  10     392
 4  19     126
 4   8      70
 5   6      70
 5  17      42
 6   5      70
 6   1      70
 6   7     154
 6   9     196
 6  10     252
 6  16      84
 7   6     154
 7   3     210
 7  20     294
 8   4      70
 8  16      98
 9   6     196
 9  19     140
 9  17     322
 9  16     196
10   6     252
10   3     392
10  17     182
10  18     140
10  20     364
11  18     224
12   2      70
12   1      70
13  15      42
13  19     140
13  14     196
14  13     196
15  13      42
15  19     126
16   6      84
16   8      98
16   9     196
17   9     322
17  10     182
17   5      42
17  18     266
18  17     266
18  10     140
18  11     224
19   4     126
19  13     140
19  15     126
20   3     266
20  10     364
20   7     294
